title,release,gf_score,metascore,genre,description,cover_art_url
Air Combat,1995-06-29,3.65,,Simulation » Flight » Combat,"You are the team fighter of an elite group of mercenaries - fighter pilots hired to strike where NATO pilots have failed. Your mission? Take out a ruthless sect of terrorists that has invaded and entrenched themselves within the confines of several global hot spots. Your hardware? Everything from F-15's to radar-invisible F-22 stealth fighters. The briefing is over, gentlemen. Win one for the free world. Good hunting",https://www.mobygames.com/images/covers/l/180635-air-combat-playstation-front-cover.png
Colin McRae Rally 2.0,2000-12-05,3.65,,Racing » Simulation » Automobile,"No Pit Crew. No Stadium. No Limits. Break loose from the same old racetrack and control torqued-out speed machines over the most hostile terrain on the planet. Can your car take the punishment. Can you take the heat? - No Mercy Racing - Power through 6 rallies and 36 stages of gravel, snow, mud, loose dirt, and blind corners at daredevil speeds.",https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Colin_McRae_Rally_2_cover.jpg/220px-Colin_McRae_Rally_2_cover.jpg
Moto Racer,1997-11-30,3.65,,Racing » Simulation » Automobile,"HANG ON! Lean your superbike into corners at blurring speed. Powerslide your dirtbike and get massive air off the jumps. Push it to the red line in a fast 3-D environment that will blow you away. 2 types of racing: Superbike: Kick in turbo boost for power wheelies Motocross: Big air, sick tricks, and aggro",https://www.mobygames.com/images/covers/l/157-moto-racer-windows-front-cover.jpg
Tomb Raider III: Adventures of Lara Croft,1998-11-21,3.65,,Action Adventure » Linear,"Join Lara in her biggest adventure to date in the phenomenal Tomb Raider series. Play through five huge worlds, in any order, on the quest for an ancient meteor rumored to have life-giving powers. New puzzles, environments, and even a few old enemies, like the infamous T-Rex await you. From the jungles of India to the icy wastes of Antarctica, across the rooftops of London and into ",https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Tomb_Raider_III.png/220px-Tomb_Raider_III.png
Treasures of the Deep,1997-08-31,3.65,,Simulation » Marine » Combat,"OVER-THE-TOP ACTION UNDER THE SEA. As Jack Runyan, ex-Navy Seal, your global treasure trek takes you from the shark-infested Great Barrier Reef to the foreboding abyss known as the Mariana Trench. Utilize the latest high-tech weaponry and submersibles as you explore sunken ships, battle sea monsters and thwart terrorists.",https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Treasures_of_the_Deep.jpg/220px-Treasures_of_the_Deep.jpg
WWF SmackDown!,2000-03-02,3.64,,Sports » Individual » Combat » Wrestling,"All of the top WWF Superstars Largest interactive backstage area ever Most advanced season mode-Make decisions affecting rivalries, backstage story lines and tag teams Revolutionary Create-A-Superstar - Sliding",https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Treasures_of_the_Deep.jpg/220px-Treasures_of_the_Deep.jpg
Walt Disney World Quest: Magical Racing Tour,2000-03-23,3.64,,Racing » Arcade » Automobile,"Experience the thrill of WALT DISNEY WORLD Quest - Magical Racing Tour and find all the missing pieces of the Fireworks Machine. Speed around 13 raceways based on popular WALT DISNEY WORLD Theme Parks and Water Parks, including: Space Mountain, Test Track at Epcot and Rock 'n' Roller Coaster.",https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Walt_Disney_World_Quest_-_Magical_Racing_Tour_Coverart.png/220px-Walt_Disney_World_Quest_-_Magical_Racing_Tour_Coverart.png
Persona 2: Tsumi - Innocent Sin,1999-06-24,3.64,,Role-Playing » Japanese-Style,"Persona 2: Innocent Sin is a rare gem in today's RPG market - despite the popularization of the genre, it's stayed true to its offbeat roots to deliver a story, setting, and style unlike anything you're likely to have played before.",https://images-na.ssl-images-amazon.com/images/I/41xDw9sjyqL.jpg
Shipwreckers!,1997-10-31,3.64,,Action » General,"Get on board with the most addictive pirate adventure on the high seas. Captain dozens of missions in your quest for vast riches. 360 degrees of maritime mayhem, deep sea terrors and swashbuckling adventure await! It's a pirate's life for you!",https://www.mobygames.com/images/covers/l/26368-shipwreckers-playstation-back-cover.jpg
Hydro Thunder,2000-02-29,3.64,,Racing » Arcade » Other,"Prepare for the power, speed and thrills of Hydro Thunder super-boat racing! Mighty Hull your way to the finish line of the most treacherous water courses imaginable!",https://m.media-amazon.com/images/M/MV5BMmZmYjcxNjMtYzI4Ni00NWQ0LWIzMTgtZTY4YzgwOTU3YTBjXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_.jpg
Warcraft II: The Dark Saga,1997-08-31,3.64,,Strategy » Real-Time » General,"Command your forces in the struggle for the domination of Azeroth. Battle over land, sea and air. 52 missions: Includes Tides of Darkness and the Dark Portal expansion pack. Over 90 custom maps. Tough artificial intelligence counters your every move.",----------------
Rollcage,1999-03-31,3.64,,Racing » Arcade » Futuristic,"Warning: 360 no rules, non-stop racing may lead to tempoary disorieation, dizziness, loss of awareness or involuntary movements, But don't let that stop you..",https://play-roms.com/sites/default/files/packshots/sony-playstation/rollcage-usa.jpg
Jumping Flash! 2,1996-08-31,3.64,,Jumping Flash! 2,"Little Muu has been bottled up by the menacing Captain Kabuki. Baron Aloha, once a foe, now turns to friend? Take a flying leap into the wickedly weird world of Robbit and plunge into the wildest 3D gaming experience ever imagined. Single, double and triple-jump your way through a madcap quest-but just when you think it's over, you take to even newer heights and depths like never seen (or felt) before!",https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Jumpingflash2_boxart.jpg/220px-Jumpingflash2_boxart.jpg
Battle Arena Toshinden 3,1997-03-31,3.64,,Action » Fighting » 3D,"The Toshinden: the timeless battle tournament where only the best are invited, and only the strongest survive. Now, this third installment takes fighting action to a level never seen before!You're caged like an animal in newly designed and closed in arenas. Battle to the exhausting finish against over 30 sexy, bloodthirsty and deadly characters, each with their own weaponry, style and moves. Plus fast fresh graphics, unbelievably smooth gameplay and responsive controls makes this tournament the ultimate force to be reckoned with.10 ALL NEW AND CLOSED-IN ARENAS. RICOCHET OFF WALLS AND CEILINGS TO ATTACK AND RETREAT!OVER 30 CHARACTERS, 12 NEVER BEFORE SEENDOZENS OF NEW KILLER MOVES, STRATEGIES AND MULTI-HIT COMBINATION ATTACKS2 PLAYER MODE FOR HEAD-TO-HEAD ACTIONBATTLE IN 30 FRAMES OR EVEN FASTER 60 FRAMES PER SECONDPRACTICE, SURVIVAL OR TEAM BATTLE MODE. NOT FOUND IN THE JAPANESE VERSION.",https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Battle_Arena_Toshinden_3_Coverart.png/220px-Battle_Arena_Toshinden_3_Coverart.png
Formula 1,1996-09-30,3.63,,Racing » Simulation » Automobile,"Experience the thrill of high-speed racing against world famous drivers on the world's most renowned tracks! Combining arcade action racing with championship simulation, Formula 1 brings it all home in incredibly realistic detail - from the challenge of qualifying to the thrill of each Grand Prix.",https://www.formula1.com/content/fom-website/en/latest/headlines/2016/8/codemasters-launch-f1-2016-game/_jcr_content/image16x9.img.1536.high.jpg
Wipeout 3 Special Edition,2000-07-14,3.63,,Racing » Arcade » Futuristic,"- Featuring tracks from Wipeout, Wipeout 2097, Wipeout 3 Japanese version and special prototype tracks5 game modes including Challenge, Tournament, Multiplay and EliminatorNew features and game enhancements Soundtrack by DJ Sasha featuring Chemical Brothers, Orbital, Underworld, Propellerheads, Paul Van Dyk and MKL",https://images-na.ssl-images-amazon.com/images/I/51KCPC0KE5L._SX342_.jpg
Crash Bash,2000-11-07,3.63,68,Miscellaneous » Party / Minigame,"Crash and his friends are back in a knockdown, drag-out arena rumble. Get ready to ride, race, jump, throw, and battle it out to the finish in frantic, head-to-head battles, and heart-pumping chases. Choose your favorite character, including Crash, Coco, Dr. Neo Cortex, and new baddie Rill Roo, and race for points in more than 30 competitive events. With a Multitap, you can race up to three of your friends and show who's the top bandicoot. It's a good old-fashioned bandicoot brawl.",https://upload.wikimedia.org/wikipedia/en/thumb/6/68/CrashBashCover.png/220px-CrashBashCover.png
Road Rash,1995-12-29,3.63,,Racing » Arcade » Automobile,"Road Rash for the PlayStation game console mashes no-holds-barred motorcycle combat racing with the hottest alternative bands to deliver the hardest-hitting action around. Lucky for you there are only 3 options - LEAD, FOLLOW, OR BECOME ROAD-KILL.",https://i.ytimg.com/vi/GjtrBwrX2ZA/hqdefault.jpg
Pac-Man World,1999-09-30,3.62,,Action » Platformer » 3D,"The nonstop action of Pac-Man enters the 3D realm. Pac-Man World offers you three gameplay modes: Quest, Maze, and Classic. During the Quest mode, you'll enter Ghost Island and help Pac-Man save his friends through six unique worlds. In the Maze mode, there are mazes galore to fulfill your cravings to chase Pinky, Inky, Blinky, and Clyde in a variety of 3D maze environments. The Classic mode is for the nostalgic-at-heart to play the original arcade game that made Pac-Man a legend.",https://i.ebayimg.com/18/!!e!UzewBGM~$(KGrHqUOKj0E0gzQRf(LBNP3sn3Fgg~~_1.JPG?set_id=89040003C1
Duke Nukem: Total Meltdown,1997-09-30,3.62,,Action » Shooter » First-Person » Arcade,Duke's in town. And there's nothing he hates more than an army of alien punks crowding his space. From L.A. to the moon - it's the ultimate fun-filled fragfest featuring the most unbelievable collection of enemies and weapons ever assembled.,https://vignette.wikia.nocookie.net/dukenukem/images/f/fb/Total_Meltdown.jpg/revision/latest?cb=20100813152856
Destruction Derby Raw,2000-09-26,3.62,69,Racing » Arcade » Automobile,"The Smashing Sequel to the King of Destruction!Progressive vehicle damage with realistic physicsUp to 4 players for maximum destruction!Eight different gameplay modes24 cars and 31 total tracks with jumps, tunnels and vicious crossoversSkyscraper mode--battle on rooftops!Vehicle upgrades to increase battle worthiness",https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Destruction_Derby_Raw_Coverart.png/220px-Destruction_Derby_Raw_Coverart.png
Fear Effect,2000-02-24,3.62,,Action Adventure » Survival,"Days before her eighteenth birthday, the quiet, enigmatic, Wee Ming Lam, disappears under mysterious circumstances. Hana, Glas, and Deke, three self-motivated and ruthless mercenaries conspire to track her down and ransom her off to her father, Mr. Lam, the most powerful Triad leader in Hong Kong, for a large sum of cold, hard cash.",https://images.gog.com/f2e12be9126fc74b89803880dc005c1e1fb4d7ec20c0745a875c8ec8b5115ea7_product_card_v2_mobile_slider_639.jpg
TOCA 2: Touring Car Challenge,1999-11-09,3.62,,Racing » Simulation » Automobile,"Drive hard, close and fast in a pack of 16 screaming cars each with unique handling, around world-famous championship circuits - including Silverstone, Brands Hatch and Donington, all authentically modelled using actual Ordnance Survey 3D landscape data. Full Championship, Time Trial, Single Race, Multi-Player and Network modes, and never seen before... Arcade StyleChallenge,Team Championship mode and Support Car Championship.",https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Toca2.jpg/220px-Toca2.jpg
Tomb Raider Chronicles,2000-11-24,3.62,63,Action Adventure » Linear,"Tomb Raider: Chronicles reveals four newly discovered, and previously untold adventures, taking you on a journey from the ruins of Rome, to the bowels of a German U boat, to the rooftops of a hi-tech city in a search of four ancient artifacts.In light of Lara's recent disappearance, those closest to her gather together at the Croft Estate on a gray, rainy day for a memorial service in her honor. Afterwards, the friends sit quietly together in the study of the Croft Mansion and provide new insights about Lara's past exploits; exploits that have until now remained a secret...",https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Tomb_Raider_-_Chronicles.png/220px-Tomb_Raider_-_Chronicles.png
Hot Wheels Turbo Racing,1999-08-31,3.62,,Racing » Arcade » Automobile,"Stunts, speed and crashes combine for wild racing fun! Race 40 classic Hot Wheels - including Twin Mill and Red Baron. First ever killer stunt moves - 360's, barrel rolls, mid-air spins! 8 Hot Wheels tracks - Loop-the-Loops, Danger Changers, and more! Multi-player action so you can race against your friends! Three ways to win - speed, stunts, or crash cars off the road! Shortcuts, hidden cars, and power-ups!",https://i.ebayimg.com/13/!!e!U8egBGM~$(KGrHqIOKpsE0VCmBnI3BNP36VII7!~~_1.JPG?set_id=89040003C1
X-Men vs. Street Fighter,1905-06-20,3.62,,Action » Fighting » 2D,X-Men vs. Street Fighter pits Marvel's mighty mutants against Capcom's legendary fighters in a slugfest of epic proportions. Now the translation of the #1 arcade blockbuster tears into the PlayStation game console allowing you to perform outrageous moves and link together amazing Chain Combos. X-Men vs. Street Fighter...the collision of two explosive universes in the world's most amazing fantasy fighter.,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Xmenvsstreetfighter_title.png/220px-Xmenvsstreetfighter_title.png
Driver,1999-06-30,3.62,87,Racing » Arcade » Automobile,"In Driver, you are the wheelman in a series of Hollywood-style car-chases. A great getaway driver is only as good as his equipment, which is why Driver has a selection of performance-packed muscle cars, complete with realistic handling, damage modeling, and real-world physics reactions. Driver also comes fully equipped with a replay/director mode that gives you all the necessary tools to ""film"" their own car chase and multiple views that allow you to look around when you're driving. Put the pedal to the metal and be the best driver around.",https://i.ytimg.com/vi/IYdO0L33USE/hqdefault.jpg
Battle Hunter,2001-06-01,3.62,,Strategy » Turn-Based » General,"In the near future, mankind survives a third ""Great War,"" but just barely. The remaining scientists who are dedicated to bringing humanity back from the brink of extinction need vital information and special items that are stored i the ruins of former high-tech cities. Too dangerous for normal troops, these missions require the use of highly trained mercenaries codenamed: ""Hunters."" Those combat veterans face the terrors of a mutated underworld while competing with other Hunters for the chance to bring back the prized relics of the past!",https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/BattleHunter_cover.jpg/220px-BattleHunter_cover.jpg
Digimon Rumble Arena,2002-02-24,3.61,64,Action » Fighting » 2D,"Cute, Cuddly, and Ready to Rumble! Digimon Rumble Arena comes to life in this truly Digimonumental release! With user friendly controls and loads of adventure, it's easy to learn, yet hard to put down. Fun for the entire family, Digimon Rumble Arena provides classic fighting gameplay for 1 or 2 players.",https://images-na.ssl-images-amazon.com/images/I/616ZSJ3HTHL._SX342_.jpg
Gekioh: Shooting King,2002-12-01,3.61,,Action » Shooter » Shoot-'Em-Up » Vertical,"Twisting alien dogfights. Towering armored mechs. Smoldering molten metal. Your life expectancy here is measured in seconds. If you're not one of the best, you're a smoking crater. Gekioh is a brilliantly rendered arcade game that spans a galaxy filled with futuristic foes. Fly alone or with a friend - this is survival of the quickest!",https://i.ytimg.com/vi/-ThTHq8T-j0/hqdefault.jpg
Disruptor,1996-11-30,3.61,,Action » Shooter » First-Person » Arcade,"As a new recruit of the elite LightStormer Corps, you possess the latest in hi-tech weaponry and training to unleash incredible amounts of firepower on the enemies of United Earth.",https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Disruptor_cover_art.PNG/220px-Disruptor_cover_art.PNG
Darkstalkers: The Night Warriors,1996-03-28,3.61,,Action » Fighting » 2D,"Challenge the onslaught of the Darkstalkers!Straight from the #1 arcade hit to your PlayStation game console - the Darkstalkers have been unleashed! All the creatures from your darkest dreams have materialized to wage an eternal war for domination of the night. The fate of all humanity rests on who wins this epic struggle. You must control the power of your favorite supernatural monster by combining their special attacks and unique abilities to survive. In a head to head fighting challenge, it's a fierce and brutal conflict for supremacy. Stunning graphics, fluid animation and incredible gameplay make Darkstalkers the monster hit of the year!Features 10 devastating monster fighters, including the Vampire, Frankenstein, Bigfoot, and the Mummy.Build up the unique SPECIAL meter to unleash a variety of enhanced moves and incredible super moves!One of the best fighting games ever created featuring massive combos and ultra-precise controlBreathtaking art and graphics - over 15,000 frames of hand-drawn animation!",https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Darkstalkers_arcade_flyer.png/220px-Darkstalkers_arcade_flyer.png
Pepsiman,1999-03-04,3.6,,Racing » Arcade » Other,"Pepsiman is a Racing game, developed and published by Kid, which was released in Japan in 1999",https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Pepsiman_gameplay.png/220px-Pepsiman_gameplay.png
Jackie Chan: Stuntmaster,2000-01-31,3.6,,Action » Beat-'Em-Up » 3D,"Unbelievable stunt sequences performed by Jackie Chan! Classic Jackie weapons that include chairs, brooms and more! Movie sequences that feature hilarious Jackie Chan outtakes! Tons of enemies and high-powered bosses to kick around! Motion-captured animations of the real Jackie Chan! Innovative fighting system includes throws and combos!",https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/JackieChanStuntmaster.jpg/220px-JackieChanStuntmaster.jpg
Ridge Racer Revolution,1996-09-30,3.6,,Racing » Arcade » Automobile,It's the greatest revolution in racing history.,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Ridge_Racer_Revolution_gameplay.jpg/220px-Ridge_Racer_Revolution_gameplay.jpg
Jumping Flash!,1995-11-01,3.6,,Action » Platformer » 3D,"The evil Baron Aloha has seized the planet's six worlds as his own private retreat. Commandeer Robbit, the jumping, shooting robotic rabbit, on a mission to stomp out the royal menace and his gang of pests. Save the planet... if you can keep from losing your lunch!",https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Jumping_Flash_gameplay.jpg/220px-Jumping_Flash_gameplay.jpg
Road Rash: Jailbreak,2000-02-01,3.6,,Racing » Arcade » Automobile,"Road Rash Jailbreak puts combat racing right in the palm of your hand. You'll join a motorcycle gang in its attempt to break a friend out of jail. In each motorcycle race, you can use kicks, punches, and weapons to knock your competitors off their bikes. The game features multiple tracks and terrains and a variety of gameplay modes. In both single-player and multiplayer modes, you must prove that you're the fastest and toughest biker of them all.",https://i.ytimg.com/vi/5hY95idee9Q/hqdefault.jpg
Fear Effect 2: Retro Helix,2001-02-21,3.6,,Action Adventure » Survival,"Fear Effect 2: Retro Helix is the prequel to the critically acclaimed hit Fear Effect on the PlayStation game console. In this chapter, we delve into the colorful histories of the original cast of three mercenaries as well as the extraordinary circumstances that brought them together.Hana Tsu-Vachel, our beautiful assassin, trained to deal in love as well as death, desired by many yet belonging to none.Royce Glas, a master operative in the field of counter intelligence whose daily existence is haunted by his dark past.Jakob 'Deke' Decourt, a cold-blooded killer driven by money and murder.Introducing Rain Qin, close companion to Hana with unparalleled beauty wrapped around a dark secret core.Their adventure will take us to the chaotic alternate reality of Hong Kong, Hells Kitchen in New York City, the formidable Walled City of Xi'an, the lost tomb of the First Emperor of China and finally into the legendary mountain-island of the immortals; Penglai Shan. As they reach their final destination and come face to face with Rain's evil twin sister Mist, in this faithful moment in time, you will get to decide who is to live and who is to die.",https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Fear_effect_2.jpg/220px-Fear_effect_2.jpg
Mortal Kombat 3,1995-10-07,3.6,,Action » Fighting » 2D,"Grab the third tidal wave of karnage and mystery! Shao Kahn has seized absolute control of earth and the Outworld. Now both are plunged into oblivion, overrun by Shao Kahn's savage kreatures. You must klash with evil to pierce the darkness.",https://i.ytimg.com/vi/j3AtatQ9a2A/maxresdefault.jpg
Micro Machines V3,1997-11-30,3.6,,Racing » Arcade » Automobile,"1-8 player total breakneck racing of the fastest scale miniatures, on the wildest 3D modelled tracks, with explosive weapon power-ups - Micro Machines V3 - there's nothing like it.48 wild 3D courses around the housePower-ups - hammer, mines, force-field - blitz the oppositionCollect, test and gamble special prize cars1-8 player competitions - Head to Head, Challenge, Time Trial, Keepsies, Teams, and Party Play race modes32 vehicles",https://www.myabandonware.com/media/screenshots/m/micro-machines-v3-4j0/micro-machines-v3_3.jpg
WWF WrestleMania: The Arcade Game,1995-10-18,3.59,,Sports » Individual » Combat » Wrestling,"Take on wrestling to the EXTREME with intense action straight from the arcade smash! It's in-your-face mayhem with punishing head-to-head and team matchups! No pain, no game!",https://i.ytimg.com/vi/tvjeIB5E_Iw/hqdefault.jpg
Ms. Pac-Man Maze Madness,2000-09-08,3.59,,Action » General,"Ms. Pac-Man is back in an all-new ""a-MAZE-ing"" 3-D adventure. Chomp your way through mystical worlds to rescue Professor Pac. Free the lost worlds of Pac-Land from the horrid witch Mesmeralda. Videogame's most famous and favorite heroine is back to save the day!Over 180 mazes - Four magical worlds: CleoPactra, Pac Ping Harbor, Crystal Caves and Haunted Halloween.Easy Controls - Just like the original arcade, no buttons necessary so you can focus on the fun! Includes the original arcade classic.Special Multi-Player modes.Secret Stages, hidden mini-games and bonus rounds.Fiendish new enemies and those old familiar ghosts. Collect the 4 Gems of Virtue: Truth, Generosity, Wisdom & Courage.",https://images-na.ssl-images-amazon.com/images/I/51FYS30X2CL._SX342_.jpg
Pandemonium 2,1997-09-30,3.59,,Action » Platformer » 3D,"Nikki is a tough and sexy spell slinging sorceress. Fargus is a pyromaniacal goof ball. His partner, Sid, is a viper tongued puppet-on-a-stick turned boomerang. Together they wreak Pandemonium!",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Pand2.jpg/220px-Pand2.jpg
Galerians,2000-03-29,3.59,,Action Adventure » Survival,"Welcome to the world of Galerians, the first Psychic Survival Adventure Game.The Galerians are an artifically created techno species whose prime directive is the total annihilation of the human race.Earth's only hope is Rion, a young man whose greatest weapon is the energy of his mind. By using Psychic Power Enhancement Chemicals, Rion is able to wage psychic war on the Galerians.Unfortunately, chemicals have their side effects...",https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Galerians_Coverart.png/220px-Galerians_Coverart.png
Bloody Roar,1997-10-31,3.59,,Action » Fighting » 3D,"Get ready to stake your ground and confront your destiny because you're in for a fast and fierce, one on one blood match. Ferocious 3D. Savage combos. Unforgettable characters. More ways to maim, crush and devour your enemies than ever! And as if that weren't enough, in the heat of battle, fighters transform into half-human beasts, unlocking all new brutal attacks!",https://i.ytimg.com/vi/AmURJy7Txqw/maxresdefault.jpg
Moto Racer 2,1998-08-31,3.59,,Racing » Simulation » Automobile,"CREATE YOUR OWN RACING EXPERIENCEDesign twisted tracksRace dirt or street in wicked weather conditionsBuild big jumps to catch sick airHead-to-head racing actionNEW FEATURES:3D Track Creator  build tracks & save them on a Memory CardArcade & Simulation Mode 32 Tracks in 5 exotic locationsRacing Conditions including snow, rain, & night racing",https://images.gog.com/5a9cb85650f7ed10f189907cac125079d78add26ff3face6667bf97940f90749_product_card_v2_mobile_slider_639.jpg
Disney/Pixar's Toy Story Racer,2001-03-05,3.59,,Racing » Arcade » Automobile,"The race is on! For the first time ever, join Woody, Buzz Lightyear and the gang in a crazy, turbo-blasting remote-controlled racing competition through the action-packed world of Disney's Toy Story!",https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Toy_Story_Racer.jpg/220px-Toy_Story_Racer.jpg
Formula 1 Championship Edition,1997-09-30,3.58,,Racing » Simulation » Automobile,"The most realistic PlayStation sports racing game of the '96 season returns with spectacular new features.Built for the serious 32-bit racer, Formula 1 Championship Edition is fueled with lap after searing lap of Mach-speed thrills, AI-driven competitors, and down-to-the-tread realism.Contains all 13 Formula 1 teams, all 17 searing circuits, and a diverse collection of Formula 1-spec cars.Incredible 2-player split screen action, horizontally and vertically. Bone-jarring collisions designed from actual Formula 1 crash footage",https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Formula_One_Championship_Edition.jpg/252px-Formula_One_Championship_Edition.jpg
Time Crisis: Project Titan,2001-06-20,3.58,71,Action » Shooter » Light Gun,"Time Crisis is back! Secret agent Richard Miller has been framed in the assassination of Caruba's president. A fiendish plot has surfaced. You have only 48 hours to find the president's real killer, clear Agent Miller's name, and uncover the sinister plan. Good luck... and remember, trust no one.",https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Time_Crisis_Project_Titan.jpg/220px-Time_Crisis_Project_Titan.jpg
Jade Cocoon: Story of the Tamamayu,1999-07-27,3.58,,Role-Playing » Japanese-Style,"Your village is about to be destroyed by the mystical Storm of Destruction. As the Cocoon Master you have the power to tame and breed monsters, but above all, the fate of your people lies in your hands. Throughout your travels you will discover mystical places, confront deadly creatures and learn about the legends of your people as well as your own destiny. Tame all kinds of different monsters and make them stronger in order to survive this great adventure",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Jade_Cocoon.jpg/220px-Jade_Cocoon.jpg
T.R.A.G.,1999-03-31,3.59,,Action Adventure » Linear,"It is 2046. An armed terrorist group has attacked and occupied the Togusa Building, owned by the major military supplier, Machinery Gear, Inc. A special commando unit has been sent to retrieve the situation, but has been caught in a trap and has sustained heavy casualties. Only two commandos have survived: Alex and Michelle. To get into the building they must defeat the super security system that is now controlled by the terrorists. Can they rescue the hostages and recover the Togusa Building? Their mission is in your hands.",https://i.ytimg.com/vi/t0npkz6AkC8/hqdefault.jpg
The King of Fighters '95,1996-08-31,3.58,,Action » Fighting » 2D,Out of the storm of battle comes 24 fighters from around the world who are invited to enter the King of Fighters '95 tournament. Omega Rugal is alive and out to seek revenge on the participants who destroyed him and his plan to rule the world.,https://vignette.wikia.nocookie.net/snk/images/3/37/Kof95poster.jpg/revision/latest?cb=20190112215028
Disney's 102 Dalmatians: Puppies to the Rescue,2000-11-08,3.58,,Action » Platformer » 3D,"It's puppy power to the rescue! As Oddball or Domino, it's up to you to rescue your captured puppy friends from the evil clutches of Cruella De Vil and her army of pet-napping toys!",https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/102_Dalmatians_-_Puppies_to_the_Rescue_Coverart.png/220px-102_Dalmatians_-_Puppies_to_the_Rescue_Coverart.png
Dragon Valor,2000-10-16,3.58,57,Role-Playing » Action RPG,"Defend Your Family, Defend Your Home, But First You Must Defend YourselfYou are the first dragon slayer, a fearless hero who must combat the most horrific of enemies. Vanquish evil, marry the heroine, and continue your heroic legacy with each new generation. Search for swords, magic and relics to aid in your war against the mightiest of dragons. You must battle to prove your worth, your might, your Dragon Valor.",https://i.ebayimg.com/images/g/YY4AAOSwa3BaDFrs/s-l300.jpg
FIFA 99,1998-11-30,3.58,,Sports » Team » Soccer » Sim,"All the clubs, leagues, and cups! Over 250 club teams. Twleve leagues: USA, Spain, Brazil, Italy, England, France, Germany, Sweden, Scotland, Portugal, Belgium, and the Netherlands. Custom Cups and Leagues - play your way! European Dream League mode - challenge the best of the best. New slide shots, new semi-auto goalkeepers, dazzling skill moves, new lifelike head tracking, new traps and tackles!",https://upload.wikimedia.org/wikipedia/en/thumb/9/95/FIFA_99_Box.png/220px-FIFA_99_Box.png
No One Can Stop Mr. Domino,1998-10-31,3.57,,Puzzle » Action,"No one can stop Mr. Domino! Get ready for some seriously addictive action in this wild style 3D-strategy puzzle game. Move out fast to keep those dominoes toppling! If you don't, the Dreaded Domino Effect will take hold and you will never want to stop! So go ahead. Try and stop Mr. Domino.",https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Mrdomino.jpg/220px-Mrdomino.jpg
Twisted Metal,1995-11-05,3.57,,Simulation » Vehicle » Combat,"YOU ARE WHAT YOU DRIVE. Big and tough, fast and deadly, or just plain crazy! 12 deadly machines in all! Stalk highways! Hunt suburbia! Take your pick. One just says you all over!",https://images-na.ssl-images-amazon.com/images/I/61T3PRP64PL._SX342_.jpg
World's Scariest Police Chases,2001-05-21,3.57,54,Racing » Arcade » Automobile,"Did you play cops-n-robbers as a child? Based on Fox Broadcasting's anthology TV series of high-speed pursuit highlights, World's Scariest Police Chases puts you in the driver's seat of a powerful police cruiser in 20 crime-busting missions. You'll be on the lookout for an array of illegal activity, including drunk drivers, robberies in progress and deadly shootouts. Once engaged, you'll pursue suspects through a dynamic city by taking shortcuts and using aggressive tactics as necessary to apprehend them. Two-player mode lets you roll with a partner; one handles the car while the other fires shots at fleeing vehicles.",https://i.ytimg.com/vi/jfJoFfzPfZw/maxresdefault.jpg
SaGa Frontier 2,2000-01-31,3.57,,Role-Playing » Japanese-Style,"Saga Frontier 2 introduces a complete renovation of the RPG genre. Traditional computer polygonal fixtures are replaced with lush, hand-drawn watercolor graphics supported by an awe-inspiring musical score. Blending both freedom and linearity, this title utilizes the Multi-Scenario System giving players unparalleled freedom in choosing which scenario they want to play while other scenarios crisscross with one another. Complementing this feature are three innovative battle modes: Duel, Team, and Strategic. Depending upon the mode selected, the player can control and individual character, a team, or several units to fight in battles, bringing depth and precision to the combat sequences. To enhance the gameplay, SaGa Frontier 2 features DUALSHOCK analog controller compatibility along with other exciting innovations that are sure to please many fans of this genre.",https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/SagaFrontier2.jpg/220px-SagaFrontier2.jpg
