Title,Release Date,Score / 5,MetaScore,Genre,Description (Wikipedia),US Art (Link)
Battletoads / Double Dragon,1993-12-01,3.53,n/a,Action - Beat-'Em-Up - 2D,"Battletoads/Double Dragon (also Battletoads & Double Dragon - The Ultimate Team) is a 1993 beat 'em up developed by Rare and published by Tradewest. It was originally released for the Nintendo Entertainment System and later ported to the Mega Drive/Genesis, Super NES, and Game Boy.",https://images.launchbox-app.com/66a64a74-52c0-4286-903e-c53dc8faa85a.jpg
Arcus Odyssey,1991,3.53,n/a,Role-Playing - Action RPG,"Arcus Odyssey is an action role-playing game video game developed by Wolf Team and released by Renovation Products in 1991 for the Sega Mega Drive/Genesis and Sharp X68000 and in 1993 for the Super Nintendo Entertainment System. The game features an isometric perspective and cooperative gameplay, as well hack and slash gameplay. It tells the story of four heroes trying to thwart the return of an evil sorceress.",https://images.launchbox-app.com/37e06077-ec50-4451-b817-312401378aa4.jpg
WWF Raw,1994,3.53,n/a,Sports - Individual - Combat - Wrestling,"WWE Raw, also known as Monday Night Raw or simply Raw, is a professional wrestling television program that currently airs live on Monday evenings at 8 pm ET on the USA Network in the United States. The show's name is also used to refer to the Raw brand, to which WWE employees are assigned to work and perform. The show debuted on January 11, 1993 and has since been considered as the flagship program of WWE.WWE Raw, also known as Monday Night Raw or simply Raw, is a professional wrestling television program that currently airs live on Monday evenings at 8 pm ET on the USA Network in the United States. The show's name is also used to refer to the Raw brand, to which WWE employees are assigned to work and perform. The show debuted on January 11, 1993 and has since been considered as the flagship program of WWE.",https://images.launchbox-app.com/94b94e4e-bd83-4917-b323-397d31dd00c7.jpg
High Seas Havoc,1993-08-16,3.53,n/a,Action - Platformer - 2D,"High Seas Havoc, known in Japan as Captain Lang (キャプテン ラング Kyaputen Rangu) and in Europe as Capt'n Havoc, is a video game that was made for the Sega Mega Drive/Genesis by Data East. It was also released in the arcades running on a Sega Mega Drive/Genesis based arcade cabinet.",https://images.launchbox-app.com/302bbcb3-12a9-4c7b-9468-f99493192ea1.jpg
Top Gear 2,1994,3.53,n/a,Racing - Arcade - Automobile,"Top Gear 2 (released as Top Racer 2 in Japan) is the sequel to the 1992 racer Top Gear. First released in August 1993 for the SNES, May 24, 1994 for the Sega Genesis and in 1994 for Amiga. It was developed by Gremlin Interactive and published by Kemco for the SNES and by Vic Tokai for the Genesis. While more realistic than its predecessor, Top Gear 2 maintained the arcade-style gameplay the series is known for",https://images.launchbox-app.com/ca91d1f9-84ae-4684-8d70-d5b61492e00f.jpg
WWF WrestleMania: The Arcade Game,1995,3.52,,Sports -Individual -Combat -Wrestling,WWF WrestleMania (released on home consoles as WWF WrestleMania: The Arcade Game) is a professional wrestling arcade game released by Midway Manufacturing Co. in 1995. It is based on the World Wrestling Federation (WWF) professional wrestling promotion.,https://images.launchbox-app.com/fca4b430-a5ca-4746-b673-758c4087dd0a.jpg
Scooby-Doo Mystery,1905-06-17,3.52,n/a,Adventure - Point-and-Click,"Scooby-Doo Mystery is the name of two video games released by Acclaim Entertainment and Sunsoft in 1995 based on the Scooby-Doo animated series. One of the games was released for the Super Nintendo Entertainment System and is an adventure game with platforming elements. The other title, released for the Sega Genesis is a more traditional adventure game style interface. Both were released only in North America. In both games, players take control of Shaggy Rogers and Scooby-Doo, who help solve various mysteries with other members of Mystery Incorporated who serve minor roles during gameplay.",https://images.launchbox-app.com/ab82d14b-9574-4e00-ac67-ef1dd910b2c1.png
The Lion King,1994-12-08,3.52,n/a,Action - Platformer - 2D,"The Lion King is a 1994 American animated musical film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. It is the 32nd Disney animated feature film, and the fifth animated film produced during a period known as the Disney Renaissance. The Lion King was directed by Roger Allers and Rob Minkoff, produced by Don Hahn, and has a screenplay credited to Irene Mecchi, Jonathan Roberts, and Linda Woolverton. Its original songs were written by composer Elton John and lyricist Tim Rice, with a score by Hans Zimmer. The film features an ensemble voice cast that includes Matthew Broderick, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Moira Kelly, Nathan Lane, Ernie Sabella, Rowan Atkinson, Robert Guillaume, Madge Sinclair, Whoopi Goldberg, Cheech Marin, and Jim Cummings. The story takes place in a kingdom of lions in Africa and was influenced by William Shakespeare's Hamlet.",https://images.launchbox-app.com/211ff465-7a42-4ffc-9d76-2cf839efbf09.jpg
Evander 'Real Deal' Holyfield's Boxing,1992-10-29,3.52,n/a,Sports - Individual - Combat - Boxing / Martial Arts,"Evander Holyfield's ""Real Deal"" Boxing is a boxing video game that was developed by ACME Interactive and published by Sega in 1992, released for the Mega Drive/Genesis and Game Gear consoles. It was followed by a sequel in 1994, Greatest Heavyweights, which featured a number of improvements.",https://images.launchbox-app.com/1986acf9-1e7d-4874-9ac0-a0436fe8a13d.jpg
Cool Spot,1994-02-18,3.52,n/a,Action - Platformer - 2D,"Cool Spot is a 1993 platformer video game developed and published by Virgin Games for the Mega Drive/Genesis and Super Nintendo Entertainment System. The game was later ported by other teams to Sega Master System, Sega Game Gear, Game Boy, Amiga and DOS in 1994. The title character is Cool Spot, a mascot for the soft drink brand 7 Up.",https://images.launchbox-app.com/348241ff-64c6-4d03-b61d-b598792f7c4c.jpg
Wiz 'n' Liz,1905-06-15,3.52,n/a,Action - Platformer - 2D,"Wiz 'n' Liz: The Frantic Wabbit Wescue is a platform game developed by Raising Hell Software for the Amiga and Sega Mega Drive and published by Psygnosis in 1993. It is a humorous, cutesy platform game. With the exception of some end-of-level bosses, the game contains no enemies.",https://images.launchbox-app.com/fee0eba7-2b6f-463d-a40c-2619f07081b9.jpg
Column,1990-06-29,3.52,n/a,Puzzle - Matching,"A column or pillar in architecture and structural engineering is a structural element that transmits, through compression, the weight of the structure above to other structural elements below. In other words, a column is a compression member. The term column applies especially to a large round support (the shaft of the column) with a capital and a base or pedestal which is made of stone, or appearing to be so. A small wooden or metal support is typically called a post, and supports with a rectangular or other non-round section are usually called piers. For the purpose of wind or earthquake engineering, columns may be designed to resist lateral forces. Other compression members are often termed ""columns"" because of the similar stress conditions. Columns are frequently used to support beams or arches on which the upper parts of walls or ceilings rest. In architecture, ""column"" refers to such a structural element that also has certain proportional and decorative features. A column might also be a decorative element not needed for structural purposes; many columns are ""engaged"", that is to say form part of a wall.",https://images.launchbox-app.com/fa3d9974-96b8-476d-aba3-83298f7b94f7.jpg
soldiers of fortune,2005-06-15,3.52,n/a,Action - Shooter - Shoot-'Em-Up - Top-Down,"Soldiers of Fortune is a 2012 American tongue-in-cheek action film directed by Maksim Korostyshevsky and starring Christian Slater, Dominic Monaghan, Sean Bean, James Cromwell and Ving Rhames. It was shot in Ukraine.",https://images.launchbox-app.com/0e934fc4-6b16-40c6-b963-88947ea898b7.jpg
Zero Wing,2005-06-13,3.51,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Zero Wing (ゼロウィング Zero Wingu) is a 1989 side-scrolling shoot 'em up arcade game developed by Toaplan and published by Taito. The player, Trent, is a lone hero who will save the universe from an evil force.",https://images.launchbox-app.com/dece929f-d26e-4d6a-a5a6-aeb1f8e23240.jpg
Rolo to the Rescue,2005-06-14,3.51,n/a,Action - Platformer - 2D,"Rolo to the Rescue is a video game developed by British studio Vectordean and published by Electronic Arts for the Sega Mega Drive/Genesis, released in 1992. The game is a two-dimensional action game with platforming elements, starring Rolo the elephant. Several other animal characters are playable once Rolo rescues them.",https://images.launchbox-app.com/aec7a1d6-49f3-4a24-a550-d971299b2e87.jpg
Super Hang-On,1989-10-06,3.5,n/a,Racing - Arcade - Automobile,"Super Hang-On (スーパーハング・オン) is a motorcycle racing arcade game released by Sega, and the sequel to the acclaimed Hang-On. A version of this game, in the full simulated-motorcycle cabinet used by the original Hang-On, was released in 1991 as Limited Edition Hang-On.",https://images.launchbox-app.com/86912219-f513-4aa6-903e-0c013b8e2f5e.jpg
FIFA Soccer 95,2005-06-16,3.49,n/a,Sports - Team - Soccer - Sim,"FIFA Soccer 95 is a 1994 sports video game developed and published by Electronic Arts. Based on the sport of association football, the game tasks the player with controlling a football team. The game was released for the Sega Genesis in November 1994. It is a sequel to FIFA International Soccer and the second game in the FIFA series. It is the only FIFA title to be not released on PC.",https://images.launchbox-app.com/8a375c28-6709-4f72-aa00-d5fa353c5274.png
Zero tolerance,2005-06-16,3.49,n/a,Action - Shooter - First-Person - Arcade,"A zero-tolerance policy is one which imposes strict punishment for infractions of a stated rule, with the intention of eliminating undesirable conduct. Zero-tolerance policies forbid people in positions of authority from exercising discretion or changing punishments to fit the circumstances subjectively; they are required to impose a pre-determined punishment regardless of individual culpability, extenuating circumstances, or history. This pre-determined punishment, whether mild or severe, is always meted out.",https://images.launchbox-app.com/4d425f85-f6f0-45c0-93dd-4b361e73f494.png
The Lost World: Jurassic Park,1997-09-16,3.49,n/a,Action - Platformer - 2D,"The Lost World: Jurassic Park is a 1997 American science fiction adventure film and the second installment in the Jurassic Park film series. A sequel to 1993's Jurassic Park and loosely based on Michael Crichton's 1995 novel The Lost World, the film was directed by Steven Spielberg and written by David Koepp. The film stars Jeff Goldblum, returning as the chaos-theorist and eccentric mathematician Ian Malcolm, Julianne Moore, Pete Postlethwaite, Vince Vaughn, Vanessa Lee Chester, and Arliss Howard. Taking place four years after the events of the original film, John Hammond (Richard Attenborough) sends a team, led by Malcolm, to Isla Sorna, the second island InGen used to make the dinosaurs, to study the animals while coming into conflict with a team led by InGen to bring some of the dinosaurs back onto homeland.",https://images.launchbox-app.com/42a012e0-fabf-493e-839b-cc4de83d0b4c.jpg
Toki: Going Ape Spit,2005-06-13,3.49,n/a,Action - Platformer - 2D,"Toki is a 1989 shoot 'em up platformer arcade game, or a ""run and gun"" developed and published in Japan by TAD Corporation and published in North America by Fabtek. It was designed by Akira Sakuma and features elements of tongue-in-cheek humor combined with the action. The player takes control of an enchanted ape who must battle hordes of jungle monsters with energy balls from his mouth. The ultimate goal is to destroy the evil wizard who cast a spell on the title protagonist; thereby transforming him from an ape back into a human, and rescuing the kidnapped princess. The game was ported to several video game consoles and home computers.",https://images.launchbox-app.com/1f61ad46-6c3a-40ef-bf46-d09a7ed6bc48.jpg
Disney's Toy Story,1996-04-26,3.49,n/a,Action - Platformer - 2D,"Toy Story is a computer animated Disney media franchise that commenced in 1995 with the release of the animated film of the same name, produced by Pixar Animation Studios and released by Walt Disney Studios Motion Pictures. The franchise is based on the anthropomorphic concept that all toys, unknown to humans, are secretly alive, and the films focus on a diverse group of toys that feature a classic cowboy doll named Sheriff Woody and a modern spaceman action figure named Buzz Lightyear, principally voiced by Tom Hanks and Tim Allen, respectively. The group unexpectedly embark on adventures that challenge and change them.",https://images.launchbox-app.com/61ba407a-4e67-4575-96f5-d4fbc7961e7e.jpg
Mortal Kombat 3,1995-10-13,3.49,n/a,Action - Fighting - 2D,"Mortal Kombat 3 (MK3) is a fighting video game developed by Midway / Atari Games and first released into arcades in 1995 as the third game in the Mortal Kombat series. As in the previous games, it has a cast of characters that players choose from and guide through a series of battles against other opponents. The game avoids the tournament storyline of its predecessors, as various warriors instead fight against the returning Shao Kahn, who has resurrected his bride Sindel and started an invasion of Earthrealm.",https://images.launchbox-app.com/c6e6546f-2fda-4359-b472-a3aa333a7c12.jpg
Theme Park,2005-06-17,3.48,n/a,Strategy - Management - Business / Tycoon,"Theme Park is a construction and management simulation video game developed by Bullfrog Productions and published by Electronic Arts in 1994. The player designs and operates an amusement park, with the goal of making money and creating theme parks worldwide. The game is the first instalment in Bullfrog's Theme series and their Designer Series.",https://images.launchbox-app.com/10c39e1e-154a-4f80-8b10-5f49e148b0e4.png
Gemfire,1992-06-24,3.47,n/a,Strategy - Turn-Based - General,"Gemfire (released in Japan as Royal Blood or ロイヤルブラッド Roiyaru Buraddo, Super Royal Blood or スーパーロイヤルブラッド Sūpā Roiyaru Buraddo in its Super Famicom version) is a medieval war game for the MSX, Nintendo Entertainment System, Super NES, FM Towns, Mega Drive/Genesis, MS-DOS, and later Windows, developed by Koei. The object in the game is to unify a fictional island by force. Players use infantry, cavalry, and archers, as well as fantasy units such as magicians, dragons or gargoyles in order to capture the castle needed to control that particular territory.",https://images.launchbox-app.com/2bded617-f523-431a-badc-3ea8cbe54d7b.jpg
FIFA Soccer 96,1905-06-17,3.47,n/a,Sports - Team - Soccer - Sim,"FIFA Soccer 96 (also known as FIFA 96: Virtual Soccer Stadium) is a video game developed by Extended Play Productions and released by Electronic Arts in 1995. It was released for the Mega Drive/Genesis, Sega Saturn, Sega 32X, Sega Game Gear, PlayStation, Super Nintendo Entertainment System and DOS systems.",https://images.launchbox-app.com/196c1e2e-370d-41c5-ae54-e16b03966e07.png
Michael Jackson's Moonwalker,1990-08-24,3.47,n/a,Action - Platformer - 2D,"Michael Jackson's Moonwalker is the name of several video games based on the 1988 Michael Jackson film Moonwalker. U.S. Gold published various games for home computers, released in 1989, while Sega developed two similarly themed beat 'em up video games in 1990; one released for arcades and another released for the Mega Drive/Genesis and Master System. Each of the games' stories loosely follow the story of the film, in which Michael Jackson must rescue kidnapped children from the evil Mr. Big, and incorporate synthesized versions of some of the musician's songs.",https://images.launchbox-app.com/87ce01ff-f921-433a-b37d-9d2dc3156738.jpg
FIFA International Soccer,1905-06-15,3.47,n/a,Sports - Team - Soccer - Sim,"FIFA International Soccer is a 1993 sports video game developed by EA Canada's Extended Play Productions team and published by Electronic Arts. Based on the sport of association football, the game tasks the player with controlling a football team. The game was released for the Sega Genesis/Mega Drive console in December 1993 and ported to numerous other systems in 1994.",https://images.launchbox-app.com/30828883-c25c-46ed-bf2d-67f36392e250.jpg
Spider-Man & Venom: Maximum Carnage,1994-09-16,3.46,n/a,Action - Beat-'Em-Up - 2D,"Spider-Man and Venom: Maximum Carnage is a side-scrolling beat 'em up game for the Super Nintendo Entertainment System and Mega Drive/Genesis, developed by Software Creations and published by Acclaim Entertainment and its subsidiary LJN in 1994. The game, based on the comic book story arc of the same name, features numerous heroes, including Spider-Man, Venom, and their allies from the Marvel Comics fictional universe like Captain America, Black Cat, Iron Fist, Cloak and Dagger, Deathlok, Morbius and Firestar, all teaming up to battle an onslaught of villains led by Carnage, including Shriek, Doppelganger, Demogoblin and Carrion",https://images.launchbox-app.com/eb933577-90e7-4e06-9da4-37933c9699b8.jpg
X-Men,1993,3.46,n/a,Action - Platformer - 2D,"X-Men is an American superhero film series based on the fictional superhero team of the same name, who originally appeared in a series of comic books created by Stan Lee and Jack Kirby and published by Marvel Comics. 20th Century Fox obtained the film rights to the characters in 1994, and after numerous drafts, Bryan Singer was hired to direct the first film, released in 2000, and its sequel, X2 (2003), while Brett Ratner directed X-Men: The Last Stand (2006).",https://images.launchbox-app.com/4e5832a1-d3a3-4e1f-8689-3ba8595b7e94.jpg
NHL 97,1905-06-18,3.46,n/a,Sports - Team - Ice Hockey - Sim,"NHL 97 is an ice hockey video game by EA Sports. It was released on October 31, 1996 and was the successor to NHL 96. It is the sixth installment of the NHL series and the first to be released on both PlayStation and Saturn. A Panasonic M2 version was in development and slated to be one of the launch titles for it, but never happened due to the cancellation of the system",https://images.launchbox-app.com/ec0eaa98-fb66-4cf6-a6c9-017207a6fecf.jpg
WWF Royal Rumble,1993-09-15,3.46,n/a,Sports - Individual - Combat - Wrestling,"The Royal Rumble is a professional wrestling event, produced every January since 1988 by professional wrestling promotion WWE. It is named after the Royal Rumble match, a battle royal whose participants enter at timed intervals",https://images.launchbox-app.com/424d320e-ed8d-47c3-a675-4e1a5fb53221.jpg
Splatterhouse 2,1905-06-14,3.45,n/a,Action - Beat-'Em-Up - 2D,"Splatterhouse 2, known in Japan as Splatterhouse Part 2 (スプラッターハウスPART2) is a sidescrolling beat 'em up video game released in 1992 on the Mega Drive/Genesis home video game console published by Namco. It is the sequel to Splatterhouse.",https://images.launchbox-app.com/37693ca0-59be-4f5d-932f-b4e6335b8119.png
Bishoujo Senshi Sailor Moon,1994-07-08,3.45,n/a,Action - Beat-'Em-Up - 2D,"Sailor Moon (美少女戦士セーラームーン Bishōjo Senshi Sērā Mūn, originally translated as Pretty Soldier Sailor Moon and later as Pretty Guardian Sailor Moon) is a Japanese shōjo manga series written and illustrated by Naoko Takeuchi. It was originally serialized in Nakayoshi from 1991 to 1997; the 60 individual chapters were published in 18 tankōbon volumes. The series follows the adventures of a schoolgirl named Usagi Tsukino as she transforms into Sailor Moon to search for a magical artifact, the ""Legendary Silver Crystal"" (「幻の銀水晶」 Maboroshi no Ginzuishō, lit. ""Phantom Silver Crystal""). She leads a diverse group of comrades, the Sailor Soldiers (セーラー戦士 Sērā Senshi) (Sailor Guardians in later editions) as they battle against villains to prevent the theft of the Silver Crystal and the destruction of the Solar System.",https://images.launchbox-app.com/051166ba-20b0-49e7-b107-e0c9ddb9aa20.png
Mr. Nutz,1905-06-16,3.45,n/a,Action - Platformer - 2D,"Mr. Nutz is a side scrolling, 2D platformer video game published by Ocean Software. It was first released for the Super Nintendo Entertainment System in late 1993, in Europe, then was released in North America and Japan in 1994. In 1994, it was released for the Sega Mega Drive as Ocean's first Sega game, and on the Game Boy. It was also released on the Sega Channel in 1995, the Game Boy Color in 1999, and remade for the Game Boy Advance in 2001.",https://images.launchbox-app.com/38f34c3d-d425-4e09-b4b4-20f2fbe38f61.jpg
Lemmings,2005-06-14,3.45,n/a,Puzzle - Action,"A lemming is a small rodent, usually found in or near the Arctic in tundra biomes. Lemmings make up the subfamily Arvicolinae (also known as Microtinae) together with voles and muskrats, which form part of the superfamily Muroidea, which also includes rats, mice, hamsters, and gerbils",https://images.launchbox-app.com/6a2bbb17-451f-4841-8c7a-70618e303687.jpg
Jurassic Park: Rampage Edition,1905-06-16,3.45,n/a,Action - Platformer - 2D,"Jurassic Park: Rampage Edition is a 1994 side-scrolling video game developed by BlueSky Software and published by Sega for the Sega Genesis. It is the sequel to Sega's previous Jurassic Park video game, based on the film of the same name and also released for the Genesis. Jurassic Park: Rampage Edition is a revamped version of its predecessor, featuring similar gameplay with several changes, and a new story that continues from where the previous game ended.",https://images.launchbox-app.com/80d2ba65-7934-421b-ad65-d925263d152f.jpg
Jewel Master,1991-08-29,3.45,n/a,Action - Platformer - 2D,"Jewel Master (ジュエル・マスター) is a 1991 video game for the Mega Drive/Genesis game console. It takes place in the country of Mythgard, where the protagonist, The Jewel Master must traverse the harsh lands ranging from scorching deserts to rugged mountains and through long forgotten ruins to collect the 12 elemental rings and save Mythgard from the clutches of the Demon King, Jardine the Mad.",https://images.launchbox-app.com/5ac5bba2-4953-4d03-bc5e-a0badde3ae07.png
The Flintstones,1993-10-22,3.44,n/a,Action - Platformer - 2D,"The Flintstones is an American animated sitcom produced by Hanna-Barbera for ABC. The series takes place in a romanticized Stone Age setting, and follows the activities of the titular family, the Flintstones, and their next-door neighbors, the Rubbles (who are also their best friends). It was originally broadcast from September 30, 1960, until April 1, 1966, as the first animated series to hold a prime time slot.",https://images.launchbox-app.com/9f4c5501-cccc-4b86-be67-7fd1b87244aa.jpg
After Burner II,1990-03-22,3.43,n/a,Action - Shooter - Shoot-'Em-Up - Vertical,"After Burner II is an arcade-style flight game released by Sega in October 1987. It is the second game in the After Burner series. In the game, players fly a F-14 Tomcat jet fighter, gunning down enemies while avoiding incoming fire. After Burner II came both a standard arcade cabinet and a servo actuated, sit-down version which moved according to the motion of the plane onscreen. The cockpit would bank in the same direction the on-screen aircraft was banking",https://images.launchbox-app.com/a2a873e3-61d9-4b54-8fbf-1309dee38584.jpg
FIFA Soccer 97,1996,3.43,n/a,Sports - Team - Soccer - Sim,"FIFA 97 (also known as FIFA Soccer 97) is a video game developed by EA Canada and published by Electronic Arts based on the game of football (soccer). It was released for the PC on June 24, 1996 and versions for PlayStation, SNES, Mega Drive and Sega Saturn followed.",https://images.launchbox-app.com/9d29162f-166f-4e75-aa96-45428ac836e9.jpg
OutRun 2019,1993,3.43,n/a,Racing - Arcade - Automobile,"OutRun 2019 (アウトラン 2019) is a Sega Mega Drive/Genesis-only pseudo-sequel to Out Run that takes place in the future. The object is to race against a time limit in a rocket-boosted car across four different stages around the world. Like the original Out Run, there is a fork in the road before each checkpoint; however, there can also be forks within a single route.",https://images.launchbox-app.com/33bc68fe-cbce-4f3e-a7fb-4eb2f77a3e86.png
Arrow Flash,1905-06-12,3.43,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Arrow Flash (Japanese: アローフラッシュ Hepburn: Arō Furasshu) is a scrolling shooter video game developed by Sega and published by Sega in Japan and Europe and by Renovation Products in the United States for the Sega Mega Drive/Genesis in 1990. The game's main character pilots a prototype transformable fighter-mecha left from her grandfather to fight against an alien attack on humankind. The game is mostly a horizontal shooter, with one down scrolling stage.",https://images.launchbox-app.com/087ffcac-bc62-43d9-a708-6edca31a9342.jpg
Batman: The Video Game,1990-07-19,3.43,n/a,Action - Platformer - 2D,"Batman, Batman: The Caped Crusader, and Batman: The Movie were produced by Sunsoft and Ocean Software, until the Batman Returns license was passed onto Konami and Sega, and the Batman Forever and Batman and Robin licenses were awarded to Acclaim. The video game version of Batman Begins was published by Electronic Arts.",https://images.launchbox-app.com/091f2dbd-eb0c-44f6-aa47-03297c36963e.jpg
Bonanza Bros,1991-05-16,3.43,n/a,Action - Platformer - 2D,"Bonanza Bros. (sometimes written Bonanza Brothers) is a 1990 3D-style, 2D shooting platform arcade game by Sega. It is one of the earliest arcade games powered by the Sega System 24 arcade system board.",https://images.launchbox-app.com/081caf0a-f300-4d61-9567-1d7a80f794ac.jpg
Donald in Maui Mallard,1995-12-08,3.43,n/a,Action - Platformer - 2D,"Maui Mallard in Cold Shadow, known as Donald in Maui Mallard in some markets, is a platforming video game developed and published by Disney Interactive Studios. The game was released in Brazil in 1995 and in Europe on December 8, 1995, for the Sega Mega Drive/Genesis. It was also ported by Eurocom Entertainment Software to the SNES and released in North America in January 1997, in Europe on November 28, 1996, and in Japan on December 20, 1996. A Microsoft Windows port was released in North America on September 30, 1996. It was ported one last time to the Game Boy by Bonsai Entertainment Corp., released in North America in August 1998.",https://images.launchbox-app.com/7584f097-6529-421e-9a80-3976c8ff79fa.png
Battletech,1994,3.42,n/a,Simulation - Vehicle - Combat,"BattleTech is a wargaming and military science fiction franchise launched by FASA Corporation in 1984, acquired by WizKids in 2001, and owned since 2003 by Topps. The series began with FASA's debut of the board game BattleTech (originally named BattleDroids) by Jordan Weisman and L. Ross Babcock III and has since grown to include numerous expansions to the original game, several board games, role playing games, video games, a collectible card game, a series of more than 100 novels, and an animated television series",https://images.launchbox-app.com/5e917371-0be8-46e5-97f8-c3cc680627c9.jpg
Ys III: Wanderers from Ys,1991,3.42,n/a,Role-Playing - Action RPG,Ys III: Wanderers from Ys (イースIII – ワンダラーズフロムイース Īsu Surī – Wandarāzu Furomu Īsu) is an action role-playing video developed by Nihon Falcom. It is the third game in the Ys series.,https://images.launchbox-app.com/8596ccad-0dca-4a02-b629-a3de154b99d1.png
Boogerman: A Pick and Flick Adventure,1994,3.42,n/a,Action - Platformer - 2D,"Boogerman: A Pick and Flick Adventure is a 2D platform video game created by Interplay Productions and released for the Sega Mega Drive/Genesis in 1994 and later on the Super Nintendo Entertainment System (SNES) in 1995. The Genesis version was also released on the Wii Virtual Console in North America on November 24, 2008 and in Europe on December 12, 2008. The game's lead character also made a cameo appearance as a playable character and the rival of Earthworm Jim in Interplay's ClayFighter 63⅓",https://images.launchbox-app.com/f05bbba1-a698-4bc2-b094-76400aa5e340.jpg
Phantasy Star III: Generations of Doom,Jul-91,3.41,n/a,Role-Playing - Japanese-Style,"Phantasy Star III: Generations of Doom, released in Japan as Toki no Keishōsha: Phantasy Star III (時の継承者 ファンタシースターIII, lit. ""Successors of Time: Phantasy Star III""), is a role-playing game that was released for the Mega Drive/Genesis in Japan in April 1990 and in western countries in 1991. It was also released in three different compilations known as The Phantasy Star Collection for the Sega Saturn and Game Boy Advance, and The Sega Genesis Collection for the PlayStation 2 and PSP, and later re-released on the Virtual Console. It was featured in Sonic's Ultimate Genesis Collection for the Xbox 360 and PlayStation 3.",https://images.launchbox-app.com/b15fef55-51d3-4b57-9352-24bf9e71ba20.jpg
Pocahontas,1905-06-18,3.4,n/a,Action - Platformer - 2D,"This article is about the Powhatan child. For the Disney film, see Pocahontas (1995 film). For the Disney character, see Pocahontas (character). For other uses, see Pocahontas (disambiguation).",https://images.launchbox-app.com/20a540ff-0cf5-49d4-ba31-947755deeeef.jpg
Thunder Force II,1989-08-14,3.4,n/a,Action - Shooter - Shoot-'Em-Up - Horizontal,"Thunder Force II (サンダーフォースII) is a scrolling shooter developed by Technosoft. It was first released in Japan on October 15, 1988 for the Sharp X68000 computer. A year later, it was ported to the Sega Mega Drive/Genesis game console and released in Japan (under the name Thunder Force II MD), Europe, and the United States. Thunder Force II was one of the six launch titles for the U.S. Genesis release. It is the second chapter of the Thunder Force series.",https://images.launchbox-app.com/c38924f7-188a-4ec3-8122-176f82050a67.jpg
Tom Mason's Dinosaurs for Hire,1993-05-01,3.4,n/a,Action - Platformer - 2D,"Dinosaurs for Hire is an American comic book series created by Tom Mason in 1988. It was first published by Eternity Comics and ran nine issues until 1990 when it was cancelled. The title returned to publication in 1993 by Malibu Comics, which had purchased Eternity as an imprint.",https://images.launchbox-app.com/d9eb5f31-8516-4e34-a792-82910cb564d1.jpg
Spot Goes To Hollywood,1995,3.39,n/a,Action - Platformer - 2D,"Spot Goes to Hollywood is a platforming video game developed by Eurocom and published by Acclaim Entertainment in North America and Virgin Interactive Entertainment in Europe for the Mega Drive/Genesis as the sequel to Cool Spot. A Sega Saturn and PlayStation version was later released, and featured FMV clips and different levels but similar gameplay to the original version. Sega 32X and SNES versions were also in development but were canceled before release. It utilizes an isometric graphics system to provide a pseudo-3D playing experience. The player controls Spot, once the mascot for the 7 Up soft drink, as he travels to various places trying to free his friends.",https://images.launchbox-app.com/87dd7b45-c9cf-44bb-be59-8556a3f4cfef.jpg
The Death and Return of Superman,1995,3.38,n/a,Action - Beat-'Em-Up - 2D,"The Death and Return of Superman is a side-scrolling beat 'em up video game released by Sunsoft for the Super NES and Genesis in 1994. It is based on ""The Death of Superman"" comic book storyline by DC Comics and features many characters from the comics, including Superman himself, Superboy, Steel, Cyborg Superman, the Eradicator, and Doomsday. All of the five Supermen are playable characters at some point.",https://images.launchbox-app.com/0f47bf20-ad24-41e6-a0ec-10f39bff5a71.jpg
Lotus II,1993,3.38,n/a,Racing - Arcade - Automobile,"The Lotus series consists of three racing computer games based around the Lotus brand: Lotus Esprit Turbo Challenge, Lotus Turbo Challenge 2, and Lotus III: The Ultimate Challenge. Published between 1990 and 1992 by Gremlin Graphics, the games gained very favourable reviews upon release. Original Amiga versions of the games were created by Shaun Southern and Andrew Morris of Magnetic Fields, and then ported by other individuals to several other computers and game consoles.",https://images.launchbox-app.com/2210789d-940f-4d0a-952a-cecc330fddb8.jpg
Phantom 2040,1995,3.38,n/a,Action - Platformer - 2D,"Phantom 2040 is a French-American animated series that is loosely based on the comic strip hero The Phantom, created by Lee Falk. The central character of the series is said to be the 24th Phantom. It was aired from September 18, 1994 to March 3, 1996 in syndication.",https://images.launchbox-app.com/fc481009-5bb4-4e1f-94de-93f4f6e1a0c6.png
